Country Name,Event,Language,Region,annotation_id,no GG detected,region_specification,Theme_Combined,Year,Cumulative CO2,GDP_capita,Annual_Capita_CO2_Consumption,HDI,HDI_Level,LDC,SIDS
Niger,COP26,translated,Africa,349,Yes,,AG,2021,0.003009983,590.629494752737,0.120342515,0.394,Low,Yes,No
Togo,COP28,translated,Africa,601,Yes,,AG,2022,0.0040171626,942.649901579536,0.2910665,0.547,Low,Yes,No
Lesotho,COP24,en,Africa,35,Yes,,NG,2018,0.0036465374,1162.97885412072,1.0785148,0.521,Low,Yes,No
Mauritius,COP24,en,Africa,42,Yes,,NG,2018,0.0065982714,11643.4605962124,3.442285,0.796,High,No,Yes
Sierra Leone,COP24,en,Africa,53,Yes,,NG,2018,0.0021231025,519.649963861622,0.13091838,0.458,Low,Yes,No
Uganda,COP24,en,Africa,65,Yes,,NG,2018,0.0058410955,793.128082237434,0.13303499,0.55,Medium,Yes,No
Djibouti,COP24,translated,Africa,76,Yes,,NG,2018,0.0011195865,2755.83829341814,0.4113473,0.515,Low,Yes,No
Gabon,COP24,translated,Africa,77,,,NG,2018,0.017115233,7694.90605067973,2.497233,0.693,Medium,No,No
Morocco,COP24,translated,Africa,82,Yes,,NG,2018,0.098612614,3492.67260742188,1.7343042,0.698,Medium,No,No
Algeria,COP25,translated,Africa,108,Yes,LDC,NG,2019,0.27347794,4021.9832660524,4.18161,0.745,High,No,No
Liberia,COP25,en,Africa,135,Yes,,NG,2019,0.0029036046,665.878447568436,0.2045213,0.487,Low,Yes,No
Malawi,COP25,en,Africa,138,Yes,,NG,2019,0.0029238262,584.362867276266,0.08673756,0.508,Low,Yes,No
Mauritius,COP25,en,Africa,142,Yes,,NG,2019,0.006723121,11403.2527870674,3.4879518,0.796,High,No,Yes
Rwanda,COP25,en,Africa,153,Yes,,NG,2019,0.00169222,806.100820273159,0.10695215,0.548,Low,Yes,No
Uganda,COP25,en,Africa,168,Yes,,NG,2019,0.0060555553,823.024732902811,0.13345863,0.55,Medium,Yes,No
Burundi,COP25,translated,Africa,181,Yes,,NG,2019,0.0007336756,216.972970900616,0.058007695,0.42,Low,Yes,No
Djibouti,COP25,translated,Africa,182,Yes,,NG,2019,0.0011216251,2876.04366371536,0.4177071,0.515,Low,Yes,No
Madagascar,COP25,translated,Africa,184,Yes,,NG,2019,0.005566124,512.27966560241,0.15459047,0.487,Low,Yes,No
Algeria,COP26,translated,Africa,219,Yes,,NG,2021,0.28233275,3700.31469728198,4.079527,0.745,High,No,No
Tunisia,COP26,translated,Africa,225,Yes,,NG,2021,0.055371575,3807.18410896841,2.8740463,0.732,High,No,No
Eswatini,COP26,en,Africa,256,Yes,,NG,2021,0.0024235297,4068.57381550966,0.9489723,0.61,Medium,No,No
Gambia,COP26,en,Africa,258,Yes,,NG,2021,0.00088165904,772.151450503284,0.2867638,0.495,Low,Yes,No
Guinea-Bissau,COP26,en,Africa,263,Yes,,NG,2021,0.000602383,795.118605039186,0.15579237,0.483,Low,Yes,Yes
Kenya,COP26,en,Africa,271,Yes,,NG,2021,0.02933929,2069.66112881918,0.46141472,0.601,Medium,No,No
Mauritius,COP26,en,Africa,280,Yes,,NG,2021,0.0068999296,9068.98018051209,3.1494038,0.796,High,No,Yes
Rwanda,COP26,en,Africa,295,Yes,,NG,2021,0.0017907287,821.171394808138,0.11539575,0.548,Low,Yes,No
South Africa,COP26,en,Africa,303,Yes,,NG,2021,1.2361414,7073.61275411821,7.1663837,0.717,High,No,No
South Sudan,COP26,en,Africa,305,Yes,,NG,2021,0.0023904166,4136.14657516013,0.17157483,0.381,Low,Yes,No
